File: multi-false.test
Build ID: 73478c2fdd0eb85fac89cc51d0be72f1f0a3b64a
Type: alloc_space
Time: 2026-09-17 09:30:01 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 534.03MB, 100% of 534.03MB total
      flat  flat%   sum%        cum   cum%
         0     0% 91.19%     4.51MB  0.84%  vortex.local/simulator/timing/effects.(*Adapter).observeAt
       4MB  0.75% 91.94%        4MB  0.75%  vortex.local/simulator/timing/model.(*ALU).Resources
    2.50MB  0.47% 92.41%        4MB  0.75%  vortex.local/simulator/timing/model.(*LSU).Evaluate
       3MB  0.56% 92.97%     3.50MB  0.66%  vortex.local/simulator/timing/model.(*Scoreboard).Resources
    3.50MB  0.66% 93.62%     3.50MB  0.66%  vortex.local/simulator/timing/model.(*Dispatch).Resources
         0     0% 93.62%     3.50MB  0.66%  go.yaml.in/yaml/v3.yaml_parser_parse_flow_sequence_entry
         0     0% 93.62%     3.04MB  0.57%  sync.(*Pool).Get
         0     0% 93.62%     3.04MB  0.57%  sync.(*Pool).pin
    3.04MB  0.57% 94.19%     3.04MB  0.57%  sync.(*Pool).pinSlow
       3MB  0.56% 94.75%        3MB  0.56%  vortex.local/simulator/timing/model.(*Pipeline).Stages (inline)
       3MB  0.56% 95.32%        3MB  0.56%  vortex.local/simulator/timing/model.(*SFU).Resources
         0     0% 95.32%        3MB  0.56%  vortex.local/simulator/timing/model.(*ALU).Evaluate
       1MB  0.19% 95.50%     2.52MB  0.47%  fmt.Sprintf
       2MB  0.37% 95.88%     2.50MB  0.47%  vortex.local/simulator/timing/model.(*Collector).Resources
    0.50MB 0.094% 95.97%     2.50MB  0.47%  vortex.local/simulator/timing/model.(*Fetch).Evaluate
    1.50MB  0.28% 96.25%     2.50MB  0.47%  vortex.local/simulator/timing/model.(*WaitPool).Evaluate
       2MB  0.37% 96.63%        2MB  0.37%  vortex.local/simulator/timing/memsys.(*Cache).MemoryOffers (inline)
         0     0% 96.63%        2MB  0.37%  vortex.local/simulator/timing/model.observed
         0     0% 96.63%     1.52MB  0.28%  fmt.newPrinter
         0     0% 96.63%     1.52MB  0.28%  regexp.(*Regexp).MatchString (inline)
         0     0% 96.63%     1.52MB  0.28%  regexp.(*Regexp).doExecute
         0     0% 96.63%     1.52MB  0.28%  regexp.(*Regexp).doMatch (inline)
         0     0% 96.63%     1.52MB  0.28%  regexp.(*Regexp).doOnePass
         0     0% 96.63%     1.52MB  0.28%  regexp.newOnePassMachine (inline)
    1.50MB  0.28% 96.91%     1.50MB  0.28%  vortex.local/simulator/timing/memsys.(*Backend).Step
         0     0% 96.91%     1.50MB  0.28%  vortex.local/simulator/timing/memsys.(*Cache).validate
    1.50MB  0.28% 97.19%     1.50MB  0.28%  vortex.local/simulator/timing/model.(*Sequencer).Evaluate
    1.50MB  0.28% 97.47%     1.50MB  0.28%  vortex.local/simulator/timing/model.(*Buffer).Residents
         0     0% 97.47%     1.50MB  0.28%  go.yaml.in/yaml/v3.yaml_parser_fetch_flow_scalar
         0     0% 97.47%     1.50MB  0.28%  go.yaml.in/yaml/v3.yaml_parser_scan_flow_scalar
         0     0% 97.47%     1.50MB  0.28%  vortex.local/simulator/timing/effects.(*Concurrent).Feedback
       1MB  0.19% 97.66%     1.50MB  0.28%  vortex.local/simulator/timing/effects.(*Concurrent).keys
         0     0% 97.66%     1.50MB  0.28%  vortex.local/simulator/timing/runner.(*MultiRunner).cleanupRedirects
         0     0% 97.66%     1.50MB  0.28%  vortex.local/simulator/timing/model.(*Dispatch).Evaluate
       1MB  0.19% 97.85%        1MB  0.19%  vortex.local/simulator/emu/state.(*WarpState).StageEffects
       1MB  0.19% 98.03%        1MB  0.19%  vortex.local/simulator/timing/memsys.(*Backend).PreviewResponses
       1MB  0.19% 98.22%        1MB  0.19%  vortex.local/simulator/timing/model.(*WaitPool).Pending (inline)
       1MB  0.19% 98.41%        1MB  0.19%  vortex.local/simulator/timing/model.(*instructionAccounting).evaluate
       1MB  0.19% 98.60%        1MB  0.19%  vortex.local/simulator/timing/model.(*Divider).Evaluate
         0     0% 98.60%        1MB  0.19%  internal/reflectlite.Swapper
       1MB  0.19% 98.78%        1MB  0.19%  internal/reflectlite.unsafe_New
         0     0% 98.78%        1MB  0.19%  sort.Slice
         0     0% 98.78%        1MB  0.19%  vortex.local/simulator/timing/model.(*SFU).Evaluate
       1MB  0.19% 98.97%        1MB  0.19%  go.yaml.in/yaml/v3.read_line
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/emu/state.(*EffectDelivery).Deliver
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/emu/state.(*EffectDelivery).stageStreamControl
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/emu/state.(*EffectStream).NewDelivery
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/emu/state.(*WarpState).stageInstructionEffects
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/timing/effects.(*Adapter).AcceptMemoryResult
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/timing/effects.(*Adapter).finishMemoryControl
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/timing/effects.(*Adapter).newDelivery
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/timing/effects.(*Adapter).serviceMemory
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/timing/effects.(*Concurrent).AcceptMemoryResult
         0     0% 98.97%     0.50MB 0.094%  vortex.local/simulator/timing/runner.(*runnerMemory).receive
    0.50MB 0.094% 99.06%     0.50MB 0.094%  vortex.local/simulator/timing/effects.(*Concurrent).Observe.func2
    0.50MB 0.094% 99.16%     0.50MB 0.094%  vortex.local/simulator/timing/runner.(*MultiRunner).observeWarps.func1
    0.50MB 0.094% 99.25%     0.50MB 0.094%  vortex.local/simulator/timing/memsys.(*LocalMemory).Responses
         0     0% 99.25%     0.50MB 0.094%  vortex.local/simulator/timing/memsys.(*LocalMemory).Step
         0     0% 99.25%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*Fetch).Resources
    0.50MB 0.094% 99.34%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*WaitPool).Residents
    0.50MB 0.094% 99.44%     0.50MB 0.094%  vortex.local/simulator/timing/memsys.(*GlobalAdapter).Step
    0.50MB 0.094% 99.53%     0.50MB 0.094%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).RegisterHandler
         0     0% 99.53%     0.50MB 0.094%  vortex.local/simulator/timing/memsys.(*SIMDSplit).Step
         0     0% 99.53%     0.50MB 0.094%  vortex.local/simulator/timing/memsys.(*SIMDSplit).validate
