File: multi-false.test
Build ID: 73478c2fdd0eb85fac89cc51d0be72f1f0a3b64a
Type: alloc_objects
Time: 2026-09-17 09:30:01 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 7435249, 100% of 7435249 total
      flat  flat%   sum%        cum   cum%
         0     0% 95.12%      65536  0.88%  vortex.local/simulator/timing/model.(*Dispatch).Evaluate
         0     0% 95.12%      53054  0.71%  vortex.local/simulator/timing/model.(*ALU).Evaluate
     43692  0.59% 95.71%      47558  0.64%  vortex.local/simulator/timing/model.(*Pipeline).Evaluate
     10923  0.15% 95.85%      47558  0.64%  vortex.local/simulator/timing/model.(*STDPath).Evaluate
         0     0% 95.85%      46031  0.62%  vortex.local/simulator/timing/effects.(*Concurrent).Feedback
     24186  0.33% 96.18%      46031  0.62%  vortex.local/simulator/timing/effects.(*Concurrent).keys
         0     0% 96.18%      46031  0.62%  vortex.local/simulator/timing/runner.(*MultiRunner).cleanupRedirects
      7803   0.1% 96.28%      43302  0.58%  vortex.local/simulator/timing/model.(*LSU).Evaluate
         0     0% 96.28%      33346  0.45%  vortex.local/simulator/timing/memsys.(*System).Step
         0     0% 96.28%      33346  0.45%  vortex.local/simulator/timing/runner.(*runnerMemory).step
         0     0% 96.28%      32768  0.44%  vortex.local/simulator/timing/model.(*SFU).Evaluate
      5461 0.073% 96.36%      31675  0.43%  vortex.local/simulator/timing/model.(*Fetch).Evaluate
         0     0% 96.36%      27306  0.37%  internal/reflectlite.Swapper
     27306  0.37% 96.72%      27306  0.37%  internal/reflectlite.unsafe_New
         0     0% 96.72%      27306  0.37%  sort.Slice
     22938  0.31% 97.03%      26215  0.35%  vortex.local/simulator/timing/model.(*WaitPool).Evaluate
         0     0% 97.03%      25385  0.34%  vortex.local/simulator/timing/runner.(*MultiRunner).observeWarps
     20109  0.27% 97.30%      24790  0.33%  vortex.local/simulator/timing/model.(*Scoreboard).Resources
     13751  0.18% 97.49%      23131  0.31%  vortex.local/simulator/timing/memsys.(*Cache).Step
         0     0% 97.49%      22528   0.3%  go.yaml.in/yaml/v3.yaml_parser_fetch_flow_scalar
         0     0% 97.49%      22528   0.3%  go.yaml.in/yaml/v3.yaml_parser_scan_flow_scalar
         0     0% 97.49%      21845  0.29%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).Schedule
     21845  0.29% 97.78%      21845  0.29%  github.com/sarchlab/akita/v5/timing.(*unsafeEventQueue).Push
         0     0% 97.78%      21845  0.29%  vortex.local/simulator/timing/model.(*Collector).Evaluate
         0     0% 97.78%      21845  0.29%  vortex.local/simulator/timing/model.(*edgeDriver).schedule
     16384  0.22% 98.00%      16384  0.22%  vortex.local/simulator/timing/model.(*Scheduler).Evaluate
         0     0% 98.00%      13143  0.18%  vortex.local/simulator/timing/model.observed
     12290  0.17% 98.17%      12290  0.17%  vortex.local/simulator/timing/model.(*STDFPU).Resources
     11883  0.16% 98.33%      11883  0.16%  vortex.local/simulator/timing/model.(*Buffer).Residents
         0     0% 98.33%      10923  0.15%  vortex.local/simulator/timing/model.(*Commit).Evaluate
     10923  0.15% 98.47%      10923  0.15%  vortex.local/simulator/timing/model.(*Merge).Evaluate
     10922  0.15% 98.62%      10922  0.15%  vortex.local/simulator/timing/model.(*Dispatch).Resources
      2964  0.04% 98.66%      10220  0.14%  vortex.local/simulator/timing/effects.(*Concurrent).Observe
      5040 0.068% 98.73%       9721  0.13%  vortex.local/simulator/timing/model.(*Collector).Resources
      9362  0.13% 98.85%       9362  0.13%  vortex.local/simulator/timing/model.(*Divider).Evaluate
      8937  0.12% 98.97%       8937  0.12%  vortex.local/simulator/timing/model.(*Sequencer).Evaluate
      7057 0.095% 99.07%       7057 0.095%  vortex.local/simulator/timing/model.CommitEdge
      6833 0.092% 99.16%       6833 0.092%  vortex.local/simulator/timing/effects.(*Adapter).validateReport
      6554 0.088% 99.25%       6554 0.088%  vortex.local/simulator/timing/model.(*Buffer).Contents
         0     0% 99.25%       6554 0.088%  vortex.local/simulator/timing/model.(*Scoreboard).evaluate
      6553 0.088% 99.34%       6553 0.088%  vortex.local/simulator/timing/memsys.(*Cache).MemoryOffers
      5960  0.08% 99.42%       5960  0.08%  vortex.local/simulator/timing/model.(*ALU).Resources
      5636 0.076% 99.49%       5636 0.076%  vortex.local/simulator/timing/model.(*LSU).Resources
         0     0% 99.49%       5461 0.073%  vortex.local/simulator/timing/runner.(*runnerMemory).services
      5006 0.067% 99.56%       5006 0.067%  vortex.local/simulator/timing/model.(*instructionAccounting).evaluate
         0     0% 99.56%       4915 0.066%  vortex.local/simulator/timing/memsys.(*Cache).validate
      4470  0.06% 99.62%       4470  0.06%  vortex.local/simulator/timing/model.(*SFU).Resources
      2185 0.029% 99.65%       4465  0.06%  vortex.local/simulator/timing/memsys.(*cacheBank).step
      3866 0.052% 99.70%       3866 0.052%  vortex.local/simulator/timing/model.(*Pipeline).Stages
         0     0% 99.70%       3839 0.052%  vortex.local/simulator/timing/effects.(*Adapter).observeAt
      3277 0.044% 99.75%       3277 0.044%  vortex.local/simulator/timing/model.(*WaitPool).Pending
      3152 0.042% 99.79%       3152 0.042%  vortex.local/simulator/timing/runner.stageEvents
      2459 0.033% 99.82%       2459 0.033%  vortex.local/simulator/timing/memsys.(*Backend).Step
      2280 0.031% 99.85%       2280 0.031%  vortex.local/simulator/timing/memsys.(*cacheMSHR).step
      1820 0.024% 99.88%       1820 0.024%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).RegisterHandler
         0     0% 99.88%       1820 0.024%  vortex.local/simulator/timing/memsys.(*SIMDSplit).Step
         0     0% 99.88%       1820 0.024%  vortex.local/simulator/timing/memsys.(*SIMDSplit).validate
      1820 0.024% 99.90%       1820 0.024%  vortex.local/simulator/timing/memsys.validateGlobal
      1639 0.022% 99.92%       1639 0.022%  vortex.local/simulator/timing/memsys.(*Backend).PreviewResponses
      1489  0.02% 99.94%       1489  0.02%  vortex.local/simulator/timing/memsys.(*GlobalAdapter).Step
         0     0% 99.94%       1260 0.017%  vortex.local/simulator/timing/model.(*Fetch).Resources
      1260 0.017%   100%       1260 0.017%  vortex.local/simulator/timing/model.(*WaitPool).Residents
      1170 0.016%   100%       1170 0.016%  vortex.local/simulator/timing/memsys.(*LocalMemory).Responses
         0     0%   100%       1170 0.016%  vortex.local/simulator/timing/memsys.(*LocalMemory).Step
       910 0.012%   100%        910 0.012%  vortex.local/simulator/timing/runner.(*MultiRunner).observeWarps.func1
       390 0.0052%   100%        390 0.0052%  vortex.local/simulator/emu/state.(*WarpState).StageEffects
         0     0%   100%        234 0.0031%  sync.(*Pool).Get
         0     0%   100%        234 0.0031%  sync.(*Pool).pin
       234 0.0031%   100%        234 0.0031%  sync.(*Pool).pinSlow
       228 0.0031%   100%        228 0.0031%  vortex.local/simulator/timing/effects.(*Concurrent).Observe.func2
         0     0%   100%        195 0.0026%  vortex.local/simulator/emu/state.(*EffectDelivery).Deliver
         0     0%   100%        195 0.0026%  vortex.local/simulator/emu/state.(*EffectDelivery).stageStreamControl
         0     0%   100%        195 0.0026%  vortex.local/simulator/emu/state.(*EffectStream).NewDelivery
         0     0%   100%        195 0.0026%  vortex.local/simulator/emu/state.(*WarpState).stageInstructionEffects
         0     0%   100%        195 0.0026%  vortex.local/simulator/timing/effects.(*Adapter).AcceptMemoryResult
         0     0%   100%        195 0.0026%  vortex.local/simulator/timing/effects.(*Adapter).finishMemoryControl
         0     0%   100%        195 0.0026%  vortex.local/simulator/timing/effects.(*Adapter).newDelivery
         0     0%   100%        195 0.0026%  vortex.local/simulator/timing/effects.(*Adapter).serviceMemory
         0     0%   100%        195 0.0026%  vortex.local/simulator/timing/effects.(*Concurrent).AcceptMemoryResult
         0     0%   100%        195 0.0026%  vortex.local/simulator/timing/runner.(*runnerMemory).receive
         0     0%   100%        117 0.0016%  fmt.newPrinter
         0     0%   100%        117 0.0016%  regexp.(*Regexp).MatchString
         0     0%   100%        117 0.0016%  regexp.(*Regexp).doExecute
         0     0%   100%        117 0.0016%  regexp.(*Regexp).doMatch
         0     0%   100%        117 0.0016%  regexp.(*Regexp).doOnePass
         0     0%   100%        117 0.0016%  regexp.newOnePassMachine
