File: kernel-true.test
Build ID: 73478c2fdd0eb85fac89cc51d0be72f1f0a3b64a
Type: alloc_objects
Time: 2026-09-17 09:32:08 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 2949477, 100% of 2949477 total
      flat  flat%   sum%        cum   cum%
         0     0% 95.52%      16384  0.56%  go.yaml.in/yaml/v3.yaml_parser_fetch_flow_scalar
         0     0% 95.52%      16384  0.56%  go.yaml.in/yaml/v3.yaml_parser_parse_indentless_sequence_entry
         0     0% 95.52%      16384  0.56%  go.yaml.in/yaml/v3.yaml_parser_scan_flow_scalar
     10923  0.37% 95.89%      16384  0.56%  internal/reflectlite.Swapper
         0     0% 95.89%      16384  0.56%  sort.Slice
      5041  0.17% 96.06%      14403  0.49%  vortex.local/simulator/timing/model.(*Fetch).Resources
         0     0% 96.06%      10923  0.37%  vortex.local/simulator/timing/effects.(*Concurrent).Feedback
         0     0% 96.06%      10923  0.37%  vortex.local/simulator/timing/effects.(*Concurrent).keys
     10697  0.36% 96.42%      10697  0.36%  vortex.local/simulator/timing/model.(*Pipeline).Stages (inline)
      2341 0.079% 96.50%       9980  0.34%  vortex.local/simulator/timing/memsys.(*Cache).Step
         0     0% 96.50%       9362  0.32%  vortex.local/simulator/timing/model.observed
      9102  0.31% 96.81%       9102  0.31%  vortex.local/simulator/timing/model.(*STDFPU).Resources
      8937   0.3% 97.11%       8937   0.3%  vortex.local/simulator/timing/model.(*Sequencer).Evaluate
      1368 0.046% 97.16%       8833   0.3%  vortex.local/simulator/timing/effects.(*Concurrent).Observe
      8192  0.28% 97.44%       8192  0.28%  vortex.local/simulator/timing/memsys.(*Cache).MemoryOffers (inline)
         0     0% 97.44%       7465  0.25%  vortex.local/simulator/timing/effects.(*Adapter).observeAt
         0     0% 97.44%       7009  0.24%  vortex.local/simulator/emu/state.(*EffectStream).NewDelivery
       455 0.015% 97.45%       7009  0.24%  vortex.local/simulator/emu/state.(*WarpState).stageInstructionEffects
         0     0% 97.45%       7009  0.24%  vortex.local/simulator/timing/effects.(*Adapter).newDelivery
         0     0% 97.45%       6554  0.22%  vortex.local/simulator/emu/state.(*WarpState).StageEffects
      6554  0.22% 97.67%       6554  0.22%  vortex.local/simulator/emu/state.cloneEffects
      6301  0.21% 97.89%       6301  0.21%  vortex.local/simulator/timing/model.(*Collector).Resources
      5461  0.19% 98.07%       5461  0.19%  github.com/sarchlab/akita/v5/timing.NewSerialEngine (inline)
      5461  0.19% 98.26%       5461  0.19%  internal/reflectlite.unsafe_New
      5461  0.19% 98.44%       5461  0.19%  vortex.local/simulator/timing/model.(*Commit).Evaluate
         0     0% 98.44%       5461  0.19%  vortex.local/simulator/timing/runner.(*runnerMemory).services
         0     0% 98.44%       5136  0.17%  vortex.local/simulator/timing/runner.(*runnerMemory).receive
      4681  0.16% 98.60%       4681  0.16%  vortex.local/simulator/timing/memsys.(*Cache).Responses (inline)
         0     0% 98.60%       4681  0.16%  vortex.local/simulator/timing/memsys.(*System).Responses (inline)
      4681  0.16% 98.76%       4681  0.16%  vortex.local/simulator/timing/model.(*Buffer).Residents
      4681  0.16% 98.92%       4681  0.16%  vortex.local/simulator/timing/model.(*WaitPool).Residents
      4096  0.14% 99.06%       4517  0.15%  vortex.local/simulator/timing/runner.(*Kernel).residency
      4470  0.15% 99.21%       4470  0.15%  vortex.local/simulator/timing/model.(*ALU).Resources
      4370  0.15% 99.36%       4370  0.15%  vortex.local/simulator/timing/model.(*Scheduler).Evaluate
      1170  0.04% 99.40%       4362  0.15%  vortex.local/simulator/timing/memsys.(*cacheBank).step
      3641  0.12% 99.52%       3641  0.12%  vortex.local/simulator/timing/model.(*instructionAccounting).evaluate
         0     0% 99.52%       3277  0.11%  vortex.local/simulator/timing/memsys.(*Cache).validate
      3192  0.11% 99.63%       3192  0.11%  vortex.local/simulator/timing/memsys.(*cacheMSHR).step
      3073   0.1% 99.73%       3073   0.1%  vortex.local/simulator/timing/model.(*LSU).Resources
      2980   0.1% 99.83%       2980   0.1%  vortex.local/simulator/timing/model.(*SFU).Resources
      1639 0.056% 99.89%       1639 0.056%  vortex.local/simulator/timing/memsys.(*Backend).Step
       912 0.031% 99.92%        912 0.031%  vortex.local/simulator/timing/model.CommitEdge
       911 0.031%   100%        911 0.031%  vortex.local/simulator/timing/effects.(*Adapter).validateReport
       819 0.028%   100%        819 0.028%  vortex.local/simulator/timing/memsys.(*Backend).PreviewResponses
         0     0%   100%        455 0.015%  vortex.local/simulator/timing/effects.(*Adapter).AcceptMemoryResult
         0     0%   100%        455 0.015%  vortex.local/simulator/timing/effects.(*Adapter).serviceMemory
         0     0%   100%        455 0.015%  vortex.local/simulator/timing/effects.(*Concurrent).AcceptMemoryResult
       455 0.015%   100%        455 0.015%  vortex.local/simulator/timing/runner.stageEvents
         0     0%   100%        421 0.014%  vortex.local/simulator/timing/model.(*Core).WarpQuiescent
         0     0%   100%        421 0.014%  vortex.local/simulator/timing/runner.(*MultiRunner).WarpQuiescent
         0     0%   100%        293 0.0099%  vortex.local/simulator/timing/runner.(*Kernel).observeCTA
         0     0%   100%        156 0.0053%  sync.(*Pool).Get
         0     0%   100%        156 0.0053%  sync.(*Pool).pin
       156 0.0053%   100%        156 0.0053%  sync.(*Pool).pinSlow
         0     0%   100%         78 0.0026%  fmt.Sprintf
         0     0%   100%         78 0.0026%  fmt.newPrinter
         0     0%   100%         78 0.0026%  regexp.(*Regexp).MatchString
         0     0%   100%         78 0.0026%  regexp.(*Regexp).doExecute
         0     0%   100%         78 0.0026%  regexp.(*Regexp).doMatch
         0     0%   100%         78 0.0026%  regexp.(*Regexp).doOnePass
         0     0%   100%         78 0.0026%  regexp.newOnePassMachine
