File: multi-true.test
Build ID: 73478c2fdd0eb85fac89cc51d0be72f1f0a3b64a
Type: alloc_space
Time: 2026-09-17 09:30:45 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 508.94MB, 100% of 508.94MB total
      flat  flat%   sum%        cum   cum%
    3.50MB  0.69% 92.03%        4MB  0.79%  vortex.local/simulator/timing/model.(*Scoreboard).Resources
         0     0% 92.03%        4MB  0.79%  go.yaml.in/yaml/v3.yaml_parser_parse_flow_sequence_entry
         0     0% 92.03%        4MB  0.79%  go.yaml.in/yaml/v3.yaml_parser_parse_indentless_sequence_entry
    3.51MB  0.69% 92.72%     3.51MB  0.69%  vortex.local/simulator/timing/model.CommitEdge
    3.50MB  0.69% 93.41%     3.50MB  0.69%  vortex.local/simulator/timing/model.(*SFU).Resources
       3MB  0.59% 94.00%        3MB  0.59%  vortex.local/simulator/timing/model.(*LSU).Resources
    1.50MB  0.29% 94.29%        3MB  0.59%  vortex.local/simulator/timing/model.(*Scoreboard).evaluate
    0.50MB 0.098% 94.39%     2.53MB   0.5%  fmt.Sprintf
         0     0% 94.39%     2.50MB  0.49%  go.yaml.in/yaml/v3.yaml_parser_fetch_flow_scalar
    0.50MB 0.098% 94.49%     2.50MB  0.49%  go.yaml.in/yaml/v3.yaml_parser_scan_flow_scalar
         0     0% 94.49%     2.03MB   0.4%  fmt.newPrinter
         0     0% 94.49%     2.03MB   0.4%  sync.(*Pool).Get
         0     0% 94.49%     2.03MB   0.4%  sync.(*Pool).pin
    2.03MB   0.4% 94.89%     2.03MB   0.4%  sync.(*Pool).pinSlow
       2MB  0.39% 95.28%        2MB  0.39%  vortex.local/simulator/timing/model.(*ALU).Resources
       2MB  0.39% 95.68%        2MB  0.39%  vortex.local/simulator/timing/model.(*Collector).Resources
       2MB  0.39% 96.07%        2MB  0.39%  vortex.local/simulator/timing/model.(*Sequencer).Evaluate
         0     0% 96.07%        2MB  0.39%  vortex.local/simulator/timing/model.(*ALU).Evaluate
    0.50MB 0.098% 96.17%        2MB  0.39%  vortex.local/simulator/timing/model.(*SFU).Evaluate
    1.50MB  0.29% 96.46%        2MB  0.39%  vortex.local/simulator/timing/model.(*Merge).Evaluate
    1.50MB   0.3% 96.76%     1.50MB   0.3%  vortex.local/simulator/timing/effects.(*Concurrent).Observe.func2 (inline)
    1.50MB  0.29% 97.05%     1.50MB  0.29%  vortex.local/simulator/timing/memsys.(*Backend).PreviewResponses
    1.50MB  0.29% 97.35%     1.50MB  0.29%  vortex.local/simulator/timing/model.(*instructionAccounting).evaluate
    0.50MB 0.098% 97.44%     1.50MB  0.29%  vortex.local/simulator/timing/model.(*Fetch).Evaluate
    1.50MB  0.29% 97.74%     1.50MB  0.29%  vortex.local/simulator/timing/model.(*Buffer).Residents
         0     0% 97.74%     1.50MB  0.29%  vortex.local/simulator/timing/model.observed
    1.50MB  0.29% 98.03%     1.50MB  0.29%  vortex.local/simulator/timing/model.(*Buffer).Contents (inline)
         0     0% 98.03%     1.50MB  0.29%  vortex.local/simulator/timing/model.(*LSU).Evaluate
         0     0% 98.03%        1MB   0.2%  vortex.local/simulator/timing/runner.(*MultiRunner).cleanupFeedback
         0     0% 98.03%        1MB   0.2%  vortex.local/simulator/timing/runner.(*MultiRunner).cleanupRedirects
         0     0% 98.03%        1MB   0.2%  vortex.local/simulator/emu/state.(*EffectStream).NewDelivery
    0.50MB 0.098% 98.13%        1MB   0.2%  vortex.local/simulator/emu/state.(*WarpState).stageInstructionEffects
         0     0% 98.13%        1MB   0.2%  vortex.local/simulator/timing/effects.(*Adapter).AcceptMemoryResult
